,Artist,URL
179,[Cam Meekins],[https://genius.com/RealCamMeekins]
180,[Mike G],[https://genius.com/MikeG]
181,[Kirk Knight],[https://genius.com/KirkKnight]
182,[Portugal. The Man],[https://genius.com/portugaltheman]
183,[Sean Price],[https://genius.com/SeanPrice]
184,[Smoke DZA],[https://genius.com/kushedgod]
185,[Far East Movement],[https://genius.com/FarEastMovement]
186,[Too $hort],[https://genius.com/TooShort]
187,[Snoop Lion],[https://genius.com/SnoopLion]
188,[Majical Cloudz],[https://genius.com/MajicalCloudz]
189,[Puff Daddy],[https://genius.com/PuffDaddy]
190,[Busta Rhymes],[https://genius.com/bustarhymes]
191,[Lady Leshurr],[https://genius.com/imladyleshurr]
192,[Skrillex],[https://genius.com/skrillex]
193,[Mike Jones],[https://genius.com/WHEREISMikeJones]
194,[Still Fresh],[https://genius.com/StillFresh]
195,[Big Daddy Kane],[https://genius.com/BigDaddyKane]
196,[Tori Kelly],[https://genius.com/torikelly]
197,[The Knocks],[https://genius.com/TheKnocks]
198,[Los Campesinos!],[https://genius.com/LosCampesinos]
199,[Diplo],[https://genius.com/Diplo]
200,[Hodgy],[https://genius.com/Hodgy]
201,[Skyzoo],[https://genius.com/Skyzoo]
202,[Leona Lewis],[https://genius.com/LeonaLewis]
203,[B Horowitz],[https://genius.com/Bhorowitz]
204,[Grimes],[https://genius.com/grimes]
205,[Ricky Hil],[https://genius.com/RickyHil]
206,[John Legend],[https://genius.com/john_legend]
207,[Andrew Bird],[https://genius.com/andrewbird]
208,[K. Michelle],[https://genius.com/kmichelle]
209,[N.O.R.E.],[https://genius.com/NORE]
210,[Marshmello],[https://genius.com/marshmellomusic]
211,[XV],[https://genius.com/XV]
212,[P Money],[https://genius.com/PMoney]
213,[Dyme-A-Duzin],[https://genius.com/DymeADuzin]
214,[Pharrell Williams],[https://genius.com/PharrellWilliams]
215,[Halsey],[https://genius.com/iamhalsey]
216,[Built to Spill],[https://genius.com/DougMartsch]
217,[Punch],[https://genius.com/iamstillpunch]
218,[Tim McGraw],[https://genius.com/TimMcGraw]
219,[Joell Ortiz],[https://genius.com/JoellOrtiz]
220,[Robert Greene],[https://genius.com/Robertgreene]
221,[X Ambassadors],[https://genius.com/XAmbassadors]
222,[Dumbfoundead],[https://genius.com/dumbfoundead]
223,[Theophilus London],[https://genius.com/TheophilusLondon]
224,[Statik Selektah],[https://genius.com/statikselekt]
225,[USKY],[https://genius.com/UskyMusic]
226,[Little Big Town],[https://genius.com/LittleBigTown]
227,[The Grouch],[https://genius.com/TheGrouch]
228,[Kurupt],[https://genius.com/Kurupt]
229,[Christina Aguilera],[https://genius.com/TheRealXtina]
230,[Chip],[https://genius.com/Chip]
231,[Leon Bridges],[https://genius.com/LeonBridges]
232,[A-Trak],[https://genius.com/A-Trak]
233,[Styles P],[https://genius.com/therealStylesP]
234,[Duran Duran],[https://genius.com/DuranDuran]
235,[Black Thought],[https://genius.com/blackthought]
236,[Cozz],[https://genius.com/Cozz]
237,[DIIV],[https://genius.com/DIIV]
238,[Le Club],[https://genius.com/LeClub]
239,[Kygo],[https://genius.com/kygo]
240,[Lianne La Havas],[https://genius.com/LianneLaHavas]
241,[Obie Trice],[https://genius.com/obietrice]
242,[KSI],[https://genius.com/KSIOlajidebt]
243,[Rapper Big Pooh],[https://genius.com/RapperBigPooh]
